PostalCode,Borough,Neighborhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Cluster Labels
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65512000000007,-79.36263979699999,Coffee Shop,Breakfast Spot,Yoga Studio,Bakery,Distribution Center,Playground,Pub,Restaurant,Electronics Store,Event Space,0
M5B,Downtown Toronto,"Garden District, Ryerson",43.65749071400006,-79.37849499999999,Coffee Shop,Clothing Store,Café,Burger Joint,Cosmetics Shop,Hotel,Japanese Restaurant,Diner,Bookstore,Tea Room,0
M5C,Downtown Toronto,St. James Town,43.65190000000007,-79.37573579699995,Coffee Shop,Restaurant,Café,Seafood Restaurant,Hotel,Cosmetics Shop,Cocktail Bar,Italian Restaurant,Department Store,Farmers Market,0
M4E,East Toronto,The Beaches,43.67656631800003,-79.29566999999997,Flower Shop,Health Food Store,Trail,Pub,Neighborhood,Eastern European Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,0
M5E,Downtown Toronto,Berczy Park,43.64516306500008,-79.37355999999993,Coffee Shop,Seafood Restaurant,American Restaurant,Cheese Shop,Pharmacy,Hotel,Farmers Market,Restaurant,Cocktail Bar,Pub,0
M5G,Downtown Toronto,Central Bay Street,43.65609081300005,-79.38492999999994,Coffee Shop,Clothing Store,Sandwich Place,Hotel,Plaza,Cosmetics Shop,Middle Eastern Restaurant,Bookstore,Gym / Fitness Center,Ramen Restaurant,0
M6G,Downtown Toronto,Christie,43.66869349500006,-79.42070999999999,Café,Grocery Store,Coffee Shop,Playground,Candy Store,Baby Store,Ethiopian Restaurant,Flower Shop,Flea Market,Fish Market,0
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.64991000000003,-79.38295853799997,Café,Coffee Shop,Hotel,Gym,Restaurant,Steakhouse,Japanese Restaurant,Asian Restaurant,Seafood Restaurant,Concert Hall,0
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66480846300004,-79.43903999999998,Park,Bakery,Café,Fast Food Restaurant,Liquor Store,Coffee Shop,Post Office,Bank,Smoke Shop,Pet Store,0
M4J,East York/East Toronto,The Danforth  East,43.68811320300006,-79.33417499999996,Convenience Store,Park,Yoga Studio,Electronics Store,Food,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,3
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.64324708800007,-79.38061499999998,Coffee Shop,Hotel,Restaurant,Japanese Restaurant,Boat or Ferry,Park,Plaza,Supermarket,Aquarium,Sporting Goods Shop,0
M6J,West Toronto,"Little Portugal, Trinity",43.648730000000064,-79.41783677199999,Bar,Cocktail Bar,Coffee Shop,Restaurant,Wine Bar,Vietnamese Restaurant,Asian Restaurant,New American Restaurant,Juice Bar,Korean Restaurant,0
M4K,East Toronto,"The Danforth West, Riverdale",43.68284243200003,-79.35760999999997,Other Great Outdoors,Ice Cream Shop,Scenic Lookout,Theater,Intersection,Discount Store,Coffee Shop,Grocery Store,Park,Electronics Store,0
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.647115000000035,-79.38143270099994,Coffee Shop,Hotel,Café,Restaurant,American Restaurant,Salad Place,Seafood Restaurant,Japanese Restaurant,Sporting Goods Shop,Deli / Bodega,0
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.639410000000055,-79.42436201999998,Coffee Shop,Restaurant,Furniture / Home Store,Bar,Café,Sandwich Place,Bakery,Gym,Supermarket,Italian Restaurant,0
M4L,East Toronto,"India Bazaar, The Beaches West",43.66804500000006,-79.31466755699995,Park,Fast Food Restaurant,Food & Drink Shop,Movie Theater,Sushi Restaurant,Board Shop,Restaurant,Dry Cleaner,Sandwich Place,Italian Restaurant,0
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.648320691000045,-79.37901922399999,Coffee Shop,Restaurant,Hotel,Café,Japanese Restaurant,Italian Restaurant,Gym,Seafood Restaurant,Deli / Bodega,American Restaurant,0
M4M,East Toronto,Studio District,43.66212513000005,-79.33496999999993,Brewery,Italian Restaurant,Diner,Bakery,Coffee Shop,Sushi Restaurant,Gastropub,Bar,American Restaurant,Arts & Crafts Store,0
M4N,Central Toronto,Lawrence Park,43.72794500000003,-79.38716314199995,Bus Line,Swim School,Yoga Studio,Food Court,Food,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,4
M5N,Central Toronto,Roselawn,43.712076545000066,-79.41847999999997,Home Service,Food Court,Food & Drink Shop,Food,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,2
M4P,Central Toronto,Davisville North,43.71268500000008,-79.38892142899994,Pizza Place,Japanese Restaurant,Playground,Department Store,Park,Sandwich Place,Breakfast Spot,Food & Drink Shop,Hotel,Gym / Fitness Center,0
M5P,Central Toronto,Forest Hill North & West,43.694785000000074,-79.41440483299994,Park,Yoga Studio,Electronics Store,Food,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,1
M6P,West Toronto,"High Park, The Junction South",43.65935500000007,-79.46206650299996,Convenience Store,Park,Residential Building (Apartment / Condo),Yoga Studio,Electronics Store,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,3
M4R,Central Toronto,North Toronto West,43.714522784000046,-79.40695999999997,Playground,Gym Pool,Park,Garden,Eastern European Restaurant,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,Farmers Market,0
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.674840000000074,-79.40452471599997,Sandwich Place,Café,Pharmacy,Pub,Modern European Restaurant,Burger Joint,Liquor Store,Coffee Shop,French Restaurant,Furniture / Home Store,0
M6R,West Toronto,"Parkdale, Roncesvalles",43.64758000000007,-79.44966211899998,Coffee Shop,Eastern European Restaurant,Thai Restaurant,Sushi Restaurant,Bakery,Breakfast Spot,Restaurant,Bookstore,Pizza Place,American Restaurant,0
M4S,Central Toronto,Davisville,43.703395000000064,-79.38659031299993,Dessert Shop,Italian Restaurant,Sandwich Place,Pizza Place,Coffee Shop,Café,Indoor Play Area,Seafood Restaurant,Farmers Market,Park,0
M5S,Downtown Toronto,"University of Toronto, Harbord",43.663110000000074,-79.40180056699995,Café,Restaurant,Bakery,Bookstore,Sushi Restaurant,Japanese Restaurant,Bar,Coffee Shop,Gym,Concert Hall,0
M6S,West Toronto,"Runnymede, Swansea",43.64982000000003,-79.47493476199999,Café,Coffee Shop,Bakery,Pizza Place,Bank,Dessert Shop,Restaurant,Pub,Pilates Studio,Pet Store,0
M4T,Central Toronto,"Moore Park, Summerhill East",43.69047500000005,-79.38331438099993,Convenience Store,Gym,Restaurant,Yoga Studio,Electronics Store,Flower Shop,Flea Market,Fish Market,Fish & Chips Shop,Fast Food Restaurant,0
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.653615000000066,-79.39726768999998,Café,Vietnamese Restaurant,Coffee Shop,Arts & Crafts Store,Park,Bar,Donut Shop,Mexican Restaurant,Cocktail Bar,Vegetarian / Vegan Restaurant,0
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.685752267000055,-79.40203499999996,Coffee Shop,Pastry Shop,Liquor Store,Supermarket,Light Rail Station,Yoga Studio,Elementary School,Flower Shop,Flea Market,Fish Market,0
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64081500000003,-79.39818424499998,Italian Restaurant,Coffee Shop,Café,Park,Bar,Sandwich Place,French Restaurant,Gym / Fitness Center,Speakeasy,Grocery Store,0
